iter	Passed	Remaining
480	647	699
481	649	697
482	650	695
483	651	694
484	652	693
485	654	691
486	655	690
487	656	688
488	657	687
489	659	686
490	660	685
491	662	683
492	663	682
493	665	681
494	666	679
495	667	677
496	668	676
497	669	674
498	670	673
499	671	671
500	672	669
501	673	668
502	674	666
503	675	665
504	677	663
505	678	662
506	679	660
507	680	658
508	681	657
509	682	655
510	683	653
511	684	652
512	685	650
513	686	649
514	687	647
515	688	646
516	689	644
517	691	643
518	692	641
519	693	639
520	694	638
521	695	636
522	696	635
523	697	633
524	698	632
525	699	630
526	701	629
527	702	627
528	703	626
529	704	624
530	705	623
531	707	621
532	708	620
533	709	618
534	710	617
535	711	615
536	712	614
537	713	612
538	714	611
539	715	609
540	717	608
541	718	606
542	719	605
543	720	603
544	721	602
545	722	600
546	723	599
547	724	597
548	725	596
549	727	594
550	728	593
551	729	591
552	730	590
553	731	588
554	732	587
555	733	585
556	734	584
557	735	582
558	737	581
559	738	580
560	739	579
561	741	577
562	742	576
563	744	575
564	745	574
565	746	572
566	748	571
567	749	570
568	751	568
569	752	567
570	753	566
571	755	565
572	756	563
573	757	562
574	759	561
575	760	559
576	761	558
577	763	557
578	764	556
579	766	554
580	767	553
581	768	552
582	770	551
583	771	549
584	773	548
585	774	547
586	775	545
587	776	544
588	778	542
589	779	541
590	780	540
591	782	539
592	783	537
593	784	536
594	786	535
595	787	533
596	789	532
597	790	531
598	791	530
599	793	528
600	794	527
601	795	526
602	797	524
603	798	523
604	799	522
605	801	520
606	802	519
607	804	518
608	805	517
609	807	515
610	808	514
611	809	513
612	810	511
613	812	510
614	813	509
615	814	507
616	815	506
617	817	505
618	818	503
619	819	502
620	820	500
621	822	499
622	823	498
623	824	497
624	826	495
625	827	494
626	828	492
627	829	491
628	831	490
629	832	488
630	833	487
631	835	486
632	836	485
633	837	483
634	839	482
635	840	480
636	841	479
637	842	478
638	843	476
639	844	474
640	845	473
641	846	472
642	847	470
643	849	469
644	850	468
645	852	467
646	853	465
647	854	464
648	856	463
649	857	461
650	858	460
651	860	459
652	861	457
653	862	456
654	864	455
655	865	453
656	866	452
657	867	451
658	869	449
659	870	448
660	871	447
661	873	445
662	874	444
663	875	443
664	877	441
665	878	440
666	879	438
667	880	437
668	881	436
669	882	434
670	883	433
671	884	431
672	886	430
673	887	429
674	888	427
675	889	426
676	890	424
677	891	423
678	892	422
679	893	420
680	894	419
681	896	417
682	897	416
683	898	415
684	900	413
685	901	412
686	902	411
687	903	409
688	904	408
689	906	407
690	907	405
691	908	404
692	909	402
693	910	401
694	911	400
695	912	398
696	913	397
697	914	395
698	916	394
699	917	393
700	918	391
701	919	390
702	920	388
703	921	387
704	922	386
705	923	384
706	924	383
707	925	381
708	926	380
709	928	379
710	929	377
711	930	376
712	931	374
713	932	373
714	933	372
715	934	370
716	935	369
717	937	368
718	938	366
719	939	365
720	940	363
721	941	362
722	942	361
723	943	359
724	944	358
725	945	356
726	946	355
727	947	354
728	949	352
729	950	351
730	951	350
731	952	348
732	953	347
733	954	345
734	955	344
735	956	343
736	957	341
737	959	340
738	960	339
739	961	337
740	962	336
741	963	335
742	964	333
743	965	332
744	966	330
745	967	329
746	969	328
747	970	326
748	971	325
749	972	324
750	973	322
751	974	321
752	975	320
753	976	318
754	978	317
755	979	316
756	980	314
757	982	313
758	983	312
759	984	310
760	985	309
761	986	308
762	988	306
763	989	305
764	990	304
765	991	303
766	993	301
767	994	300
768	995	299
769	997	297
770	998	296
771	1000	295
772	1001	294
773	1002	292
774	1003	291
775	1004	290
776	1005	288
777	1007	287
778	1008	286
779	1009	284
780	1010	283
781	1011	281
782	1012	280
783	1013	279
784	1015	278
785	1016	276
786	1017	275
787	1018	274
788	1020	272
789	1021	271
790	1022	270
791	1024	268
792	1025	267
793	1026	266
794	1028	265
795	1030	264
796	1031	262
797	1033	261
798	1034	260
799	1036	259
800	1037	257
801	1038	256
802	1039	254
803	1040	253
804	1041	252
805	1042	251
806	1044	249
807	1045	248
808	1046	247
809	1048	245
810	1049	244
811	1050	243
812	1051	241
813	1052	240
814	1053	239
815	1054	237
816	1055	236
817	1057	235
818	1058	233
819	1059	232
820	1060	231
821	1061	229
822	1062	228
823	1063	227
824	1064	225
825	1065	224
826	1066	223
827	1068	221
828	1069	220
829	1070	219
830	1071	217
831	1072	216
832	1073	215
833	1074	213
834	1075	212
835	1076	211
836	1077	209
837	1079	208
838	1080	207
839	1081	205
840	1082	204
841	1084	203
842	1085	202
843	1086	200
844	1088	199
845	1089	198
846	1090	196
847	1091	195
848	1092	194
849	1093	193
850	1095	191
851	1096	190
852	1097	189
853	1098	187
854	1099	186
855	1100	185
856	1101	183
857	1102	182
858	1103	181
859	1105	179
860	1106	178
861	1107	177
862	1108	175
863	1109	174
864	1110	173
865	1111	172
866	1112	170
867	1113	169
868	1115	168
869	1116	166
870	1117	165
871	1118	164
872	1119	162
873	1121	161
874	1122	160
875	1123	159
876	1124	157
877	1125	156
878	1126	155
879	1127	153
880	1128	152
881	1129	151
882	1131	149
883	1132	148
884	1133	147
885	1135	146
886	1136	144
887	1137	143
888	1138	142
889	1139	140
890	1140	139
891	1141	138
892	1142	136
893	1144	135
894	1145	134
895	1146	133
896	1147	131
897	1148	130
898	1149	129
899	1150	127
900	1151	126
901	1152	125
902	1154	123
903	1155	122
904	1156	121
905	1157	120
906	1158	118
907	1159	117
908	1160	116
909	1161	114
910	1162	113
911	1163	112
912	1165	111
913	1166	109
914	1167	108
915	1168	107
916	1169	105
917	1170	104
918	1171	103
919	1172	101
920	1174	100
921	1175	99
922	1176	98
923	1177	96
924	1178	95
925	1179	94
926	1180	92
927	1182	91
928	1183	90
929	1184	89
930	1185	87
931	1186	86
932	1187	85
933	1188	84
934	1190	82
935	1191	81
936	1192	80
937	1193	78
938	1194	77
939	1195	76
940	1196	75
941	1197	73
942	1198	72
943	1199	71
944	1201	69
945	1202	68
946	1203	67
947	1204	66
948	1206	64
949	1207	63
950	1208	62
951	1209	60
952	1210	59
953	1211	58
954	1212	57
955	1214	55
956	1215	54
957	1216	53
958	1217	52
959	1218	50
960	1219	49
961	1220	48
962	1221	46
963	1222	45
964	1224	44
965	1225	43
966	1226	41
967	1227	40
968	1228	39
969	1229	38
970	1230	36
971	1232	35
972	1233	34
973	1234	32
974	1235	31
975	1236	30
976	1237	29
977	1238	27
978	1239	26
979	1240	25
980	1241	24
981	1243	22
982	1244	21
983	1245	20
984	1247	18
985	1248	17
986	1249	16
987	1250	15
988	1251	13
989	1253	12
990	1254	11
991	1256	10
992	1257	8
993	1258	7
994	1259	6
995	1260	5
996	1262	3
997	1263	2
998	1264	1
999	1265	0
