iter	RMSE
254	94.75955947
255	94.47832091
256	94.07035359
257	93.81006274
258	93.58398439
259	93.41883932
260	92.87604489
261	92.84403228
262	92.81330951
263	92.72385412
264	92.53952715
265	92.40390087
266	92.03240353
267	91.68204005
268	91.33230686
269	91.10825347
270	91.07940267
271	91.05663487
272	90.63894106
273	90.41442344
274	90.03926641
275	89.6269486
276	89.41809832
277	89.16139556
278	89.13193733
279	88.86532977
280	88.56148251
281	88.23011045
282	87.9124811
283	87.72992039
284	87.35565651
285	86.97651756
286	86.85498308
287	86.59929393
288	86.38849342
289	86.13675533
290	85.93739588
291	85.71191379
292	85.68773636
293	85.4047005
294	85.06332388
295	84.91290873
296	84.86744847
297	84.5906621
298	84.22084339
299	83.84059212
300	83.37019066
301	83.14975957
302	83.1186996
303	82.81707826
304	82.66063449
305	82.40822326
306	82.04625313
307	81.83743201
308	81.80877046
309	81.53720461
310	81.28662986
311	81.13838985
312	80.92493635
313	80.58429003
314	80.46162877
315	80.21789991
316	79.97958942
317	79.82435767
318	79.47685161
319	79.2895867
320	79.04093869
321	79.02281808
322	78.84396322
323	78.68052228
324	78.65267019
325	78.43998372
326	78.38007619
327	78.12695943
328	77.95902589
329	77.75433215
330	77.63122087
331	77.49776601
332	77.09592582
333	77.0757225
334	76.84539947
335	76.61208982
336	76.3823987
337	76.20722236
338	75.97764785
339	75.8605314
340	75.70803144
341	75.59930746
342	75.34418889
343	75.09586037
344	74.96383806
345	74.82987334
346	74.54816993
347	74.27435235
348	74.08670669
349	73.89144932
350	73.67883297
351	73.6288367
352	73.5875009
353	73.40898804
354	73.25804514
355	73.07343811
356	73.04877865
357	72.89629906
358	72.7172369
359	72.56490841
360	72.34659637
361	72.13981374
362	71.89303171
363	71.87464282
364	71.6633694
365	71.44749799
366	71.21615293
367	71.03848208
368	70.8896688
369	70.67694222
370	70.53628344
371	70.42544616
372	70.29078819
373	70.09834228
374	69.91524202
375	69.89957255
376	69.88135947
377	69.68919467
378	69.55972223
379	69.37103178
380	69.25596244
381	69.23897771
382	69.22088726
383	69.06540469
384	68.96764197
385	68.82325243
386	68.66680131
387	68.46390847
388	68.29709992
389	68.17420842
390	67.98049004
391	67.8171762
392	67.64243583
393	67.62552572
394	67.4672041
395	67.27147135
396	67.08101101
397	66.94109213
398	66.84290852
399	66.70479048
400	66.60765582
401	66.59169099
402	66.57817079
403	66.31939622
404	66.17550902
405	66.16221329
406	66.14791568
407	65.98450038
408	65.79275086
409	65.66296674
410	65.50155277
411	65.31192714
412	65.14119579
413	65.04250791
414	64.91758017
415	64.7572894
416	64.74320898
417	64.72860938
418	64.71619469
419	64.67334473
420	64.53591535
421	64.39106575
422	64.3602148
423	64.21503095
424	63.94444435
425	63.78218125
426	63.76867674
427	63.65313424
428	63.53528622
429	63.52167254
430	63.3726645
431	63.23507659
432	63.2220774
433	63.20925134
434	63.05097856
435	63.03855659
436	62.93824917
437	62.82509948
438	62.81235809
439	62.785934
440	62.57879784
441	62.44194171
442	62.26709182
443	62.17696983
444	62.1315581
445	61.98607525
446	61.88106305
447	61.78955399
448	61.63699606
449	61.55236169
450	61.44653724
451	61.43495714
452	61.28179934
453	61.10300227
454	61.08431979
455	60.97302437
456	60.87760354
457	60.86660084
458	60.78489912
459	60.6221682
460	60.46055512
461	60.44997579
462	60.29090385
463	60.16726793
464	60.05086489
465	60.0404744
466	59.92380644
467	59.76749133
468	59.638127
469	59.48828631
470	59.38078546
471	59.27382275
472	59.19161402
473	59.18318573
474	59.16560614
475	59.08650736
476	58.95402947
477	58.85569843
478	58.72874899
479	58.72063856
480	58.61746878
481	58.48927669
482	58.39068696
483	58.28508679
484	58.10716244
485	58.00542733
486	57.88390546
487	57.80441469
488	57.78769982
489	57.77286264
490	57.68656829
491	57.55926137
492	57.46602933
493	57.3181393
494	57.22975454
495	57.10610715
496	57.00366105
497	56.87724815
498	56.7157416
499	56.67147374
500	56.59867962
501	56.52416501
502	56.51154626
503	56.3911663
504	56.25876281
505	56.17711576
506	56.15931122
507	56.00273122
508	55.89239863
509	55.88201107
510	55.87182908
511	55.86187918
512	55.77086215
513	55.66562753
514	55.5687513
515	55.52257481
516	55.43675469
517	55.38508524
518	55.34412449
519	55.22036776
520	55.18896145
521	55.05476222
522	54.87340354
523	54.81344349
524	54.77003553
525	54.76047533
526	54.6199215
527	54.51095476
528	54.48576062
529	54.44930728
530	54.33692067
531	54.26037598
532	54.14276343
533	54.05518845
534	53.99349975
535	53.91198963
536	53.78133073
537	53.77153689
538	53.66467494
539	53.57374479
540	53.43113069
541	53.34379296
542	53.22585791
543	53.13628458
544	53.08977239
545	52.97333393
546	52.96227636
547	52.83041291
548	52.77702802
549	52.7422134
550	52.73073577
551	52.62523658
552	52.50860495
553	52.37359751
554	52.27219627
555	52.16834506
556	52.11665795
557	52.00584886
558	51.93864983
559	51.92939134
560	51.83463006
561	51.75750823
562	51.69401655
563	51.54541134
564	51.4391966
565	51.33640697
566	51.24808831
567	51.16587224
568	51.04518634
569	51.00253474
570	50.97573878
571	50.88729317
572	50.77852304
573	50.68938926
574	50.58175337
575	50.53708396
576	50.47962349
577	50.38938941
578	50.30804277
579	50.21665764
580	50.16030994
581	50.09501774
582	49.95147579
583	49.90271346
584	49.88947515
585	49.82452262
586	49.70894851
587	49.657693
588	49.60864964
589	49.54617939
590	49.44684825
591	49.29972102
592	49.15346228
593	49.07834695
594	49.01678253
595	48.92877926
596	48.83365086
597	48.74929442
598	48.67770458
599	48.60236024
600	48.50516783
601	48.42299725
602	48.30063407
603	48.21562093
604	48.13193975
605	48.12219659
606	48.04955754
607	47.95457205
608	47.8628583
609	47.75983806
610	47.68701319
611	47.61120965
612	47.50839097
613	47.45565651
614	47.39249242
615	47.28637229
616	47.19818779
617	47.14846029
618	47.10187137
619	47.04808349
620	46.96817298
621	46.89746438
622	46.85477502
623	46.81060149
624	46.72221353
625	46.61957392
626	46.54649408
627	46.42500565
628	46.3991252
629	46.32533086
630	46.23460292
631	46.1884468
632	46.11855178
633	46.04954582
634	45.9646806
635	45.89039991
636	45.79261126
637	45.78771061
638	45.74830453
639	45.74553534
640	45.69992604
641	45.62344426
642	45.54122791
643	45.43683334
644	45.37962321
645	45.34155266
646	45.29548107
647	45.23939159
648	45.17704933
649	45.07677353
650	45.00571357
651	44.90973546
652	44.84728977
653	44.78583407
654	44.69959143
655	44.62629836
656	44.55793375
657	44.48393933
658	44.39857057
659	44.33755189
660	44.28564455
661	44.19922023
662	44.09875787
663	44.01461389
664	43.90195417
665	43.8614832
666	43.8542037
667	43.77897716
668	43.7334502
669	43.64262819
670	43.57152761
671	43.56406661
672	43.45333195
673	43.37140743
674	43.29950966
675	43.26198783
676	43.17599836
677	43.11286103
678	43.02919888
679	42.96367056
680	42.88161811
681	42.82374749
682	42.76063767
683	42.71597548
684	42.66112398
685	42.61879324
686	42.53087839
687	42.51835524
688	42.40897934
689	42.36426463
690	42.30281456
691	42.2299962
692	42.14818069
693	42.10303896
694	42.06167162
695	41.9832277
696	41.88463067
697	41.85072599
698	41.78988745
699	41.7843839
700	41.73455386
701	41.68186131
702	41.6383071
703	41.56785898
704	41.5179899
705	41.45911034
706	41.41042233
707	41.3498529
708	41.3177006
709	41.24907005
710	41.17643252
711	41.12543394
712	41.06196947
713	41.01122197
714	40.94319004
715	40.86294859
716	40.83613418
717	40.80995444
718	40.74951341
719	40.71219633
720	40.67309463
721	40.61018693
722	40.54030939
723	40.48636899
724	40.43342438
725	40.36854141
726	40.32441425
727	40.27244798
728	40.19767012
729	40.14900208
730	40.06472849
731	40.02116474
732	39.9433577
733	39.90921946
734	39.87088003
735	39.81727555
736	39.78424269
737	39.73546318
738	39.69680718
739	39.63991079
740	39.53672569
741	39.51067308
742	39.45327357
743	39.40756764
744	39.34893127
745	39.29097353
746	39.24656323
747	39.17693934
748	39.09888216
749	39.09246336
750	39.04565363
751	38.96560841
752	38.92938552
753	38.83428217
754	38.77739746
755	38.68247937
756	38.65120758
757	38.59884941
758	38.55164377
759	38.51491788
760	38.4607674
761	38.45378729
762	38.41248351
763	38.36613118
764	38.32799898
765	38.32256902
766	38.2444672
767	38.18683981
768	38.13887571
769	38.09228183
770	38.01976635
771	37.95817025
772	37.91939164
773	37.87838884
774	37.79087303
775	37.75052205
776	37.7042981
777	37.66242748
778	37.57991615
779	37.57271892
780	37.53393096
781	37.46745208
782	37.41731842
783	37.41422607
784	37.37597603
785	37.34673121
786	37.31540318
787	37.28966495
788	37.24621998
789	37.19114623
790	37.1299954
791	37.06127873
792	37.01908461
793	36.96981437
794	36.90876095
795	36.85476248
796	36.80829357
797	36.7668993
798	36.69462531
799	36.63610764
800	36.5972244
801	36.53499427
802	36.51025917
803	36.44461615
804	36.35813478
805	36.32584163
806	36.27094425
807	36.21611379
808	36.1846834
809	36.12855904
810	36.07808447
811	35.99765673
812	35.96873422
813	35.93194706
814	35.88136573
815	35.84553775
816	35.78219021
817	35.74513348
818	35.72706766
819	35.69552912
820	35.64874531
821	35.6112307
822	35.5471703
823	35.53889751
824	35.49380903
825	35.46839642
826	35.4221805
827	35.37769807
828	35.31401131
829	35.26511986
830	35.20622437
831	35.19821953
832	35.15734572
833	35.11830005
834	35.08326016
835	35.03879275
836	35.03363237
837	34.98327487
838	34.93799275
839	34.89693858
840	34.86024505
841	34.80512602
842	34.76144358
843	34.72137122
844	34.68133601
845	34.64808911
846	34.6169091
847	34.57670206
848	34.55007356
849	34.51660407
850	34.46955154
851	34.43448641
852	34.39467688
853	34.34311333
854	34.33964976
855	34.2671488
856	34.23550763
857	34.18464883
858	34.10830847
859	34.05867824
860	34.00328402
861	33.95834647
862	33.91884088
863	33.87963468
864	33.83788709
865	33.8044132
866	33.76383811
867	33.73803969
868	33.68547321
869	33.64405173
870	33.60329198
871	33.56200018
872	33.52945851
873	33.47999683
874	33.4242469
875	33.3755012
876	33.33879473
877	33.30308346
878	33.25480981
879	33.19560665
880	33.14091218
881	33.08671746
882	33.04885476
883	33.02135323
884	32.99009735
885	32.94350824
886	32.916741
887	32.84764376
888	32.81594292
889	32.74805337
890	32.72074136
891	32.67539946
892	32.64111157
893	32.61487381
894	32.57862931
895	32.5299576
896	32.49864433
897	32.44880382
898	32.40610592
899	32.36420207
900	32.32477821
901	32.30452266
902	32.26482672
903	32.23071687
904	32.19180772
905	32.15408366
906	32.10849483
907	32.0680557
908	32.0309951
909	32.00442123
910	31.98037775
911	31.95579258
912	31.92323346
913	31.89625732
914	31.84393767
915	31.81459045
916	31.77282025
917	31.74146009
918	31.6870188
919	31.65731901
920	31.61564309
921	31.55953062
922	31.53084942
923	31.49653714
924	31.47965934
925	31.47408136
926	31.42648757
927	31.39543866
928	31.35347397
929	31.31576712
930	31.28335702
931	31.23745385
932	31.19630452
933	31.15700621
934	31.09037892
935	31.05016374
936	31.00551904
937	30.99291163
938	30.94543777
939	30.91587493
940	30.87883705
941	30.83189259
942	30.80532668
943	30.79363538
944	30.78873077
945	30.75154527
946	30.71435337
947	30.67762438
948	30.63713683
949	30.59913862
950	30.5699037
951	30.53788686
952	30.49277754
953	30.46607121
954	30.41207384
955	30.38307028
956	30.37097471
957	30.33918751
958	30.30166226
959	30.2698292
960	30.24925292
961	30.20430856
962	30.17717558
963	30.15479141
964	30.09474439
965	30.05660254
966	30.01693753
967	29.96300603
968	29.94716749
969	29.94362385
970	29.91926761
971	29.89490549
972	29.84826466
973	29.80563803
974	29.7789384
975	29.75331668
976	29.71706146
977	29.68551919
978	29.67962954
979	29.64242982
980	29.61033641
981	29.57189784
982	29.5420903
983	29.503573
984	29.45670982
985	29.42908654
986	29.3845996
987	29.35791799
988	29.33574047
989	29.2917762
990	29.28250792
991	29.26017344
992	29.212921
993	29.17663763
994	29.1494171
995	29.12347117
996	29.09310105
997	29.04674401
998	29.04001883
999	29.00295309
